episode,reward,steps,success,epsilon,loss
1,-200.0,200,False,1.0,
2,-200.0,200,False,0.9996833333333334,0.10734765231609344
3,-200.0,200,False,0.9993666666666666,0.07016885280609131
4,-200.0,200,False,0.99905,0.0745743066072464
5,-200.0,200,False,0.9987333333333334,0.053695328533649445
6,-200.0,200,False,0.9984166666666666,0.05235473811626434
7,-200.0,200,False,0.9981,0.04548260569572449
8,-200.0,200,False,0.9977833333333334,0.06559229642152786
9,-200.0,200,False,0.9974666666666666,0.04936446622014046
10,0.0,21,True,0.99715,0.047684140503406525
11,-200.0,200,False,0.9968333333333333,0.034700438380241394
12,-200.0,200,False,0.9965166666666667,0.05763860419392586
13,-200.0,200,False,0.9962,0.05900958552956581
14,-200.0,200,False,0.9958833333333333,0.20863623917102814
15,-200.0,200,False,0.9955666666666667,0.03122105449438095
16,-200.0,200,False,0.99525,0.04019736871123314
17,-200.0,200,False,0.9949333333333333,0.03596293926239014
18,-200.0,200,False,0.9946166666666667,0.0353069007396698
19,-200.0,200,False,0.9943,0.024724265560507774
20,-200.0,200,False,0.9939833333333333,0.022401340305805206
21,-200.0,200,False,0.9936666666666667,0.034106120467185974
22,-102.0,123,False,0.99335,0.02012518420815468
23,-1.0,22,False,0.9930333333333333,0.016981100663542747
24,-179.0,200,False,0.9927166666666667,0.02496197819709778
25,-200.0,200,False,0.9924,0.03120134212076664
26,-200.0,200,False,0.9920833333333333,0.02410956099629402
27,-200.0,200,False,0.9917666666666667,0.023018546402454376
28,-200.0,200,False,0.99145,0.020593389868736267
29,-200.0,200,False,0.9911333333333333,0.024321075528860092
30,-200.0,200,False,0.9908166666666667,0.1671980768442154
31,-129.0,150,False,0.9905,0.012579086236655712
32,-200.0,200,False,0.9901833333333333,0.012489886954426765
33,-200.0,200,False,0.9898666666666667,0.009952596388757229
34,-200.0,200,False,0.98955,0.10827073454856873
35,-75.0,96,False,0.9892333333333333,0.024544041603803635
36,-200.0,200,False,0.9889166666666667,0.016957463696599007
37,-76.0,97,False,0.9886,0.01423007994890213
38,-200.0,200,False,0.9882833333333333,0.006812111008912325
39,-200.0,200,False,0.9879666666666667,0.01576554775238037
40,-200.0,200,False,0.98765,0.01164737343788147
41,-200.0,200,False,0.9873333333333333,0.17328721284866333
42,-200.0,200,False,0.9870166666666667,0.008629102259874344
43,-200.0,200,False,0.9867,0.005602408666163683
44,-200.0,200,False,0.9863833333333334,0.013129761442542076
45,-46.0,67,False,0.9860666666666666,0.1735503077507019
46,-200.0,200,False,0.98575,0.02945571579039097
47,-200.0,200,False,0.9854333333333334,0.01742127351462841
48,-63.0,84,False,0.9851166666666666,0.17091535031795502
49,-200.0,200,False,0.9848,0.007193448953330517
50,-117.0,138,False,0.9844833333333334,0.004305459558963776
51,-200.0,200,False,0.9841666666666666,0.008232041262090206
52,-200.0,200,False,0.98385,0.1521046906709671
53,-200.0,200,False,0.9835333333333334,0.007940953597426414
54,-139.0,160,False,0.9832166666666666,0.005888198036700487
55,-200.0,200,False,0.9829,0.003321815747767687
56,-200.0,200,False,0.9825833333333334,0.00785861350595951
57,-200.0,200,False,0.9822666666666666,0.010216186754405499
58,-200.0,200,False,0.98195,0.023368394002318382
59,-200.0,200,False,0.9816333333333334,0.006592730991542339
60,-200.0,200,False,0.9813166666666666,0.035235051065683365
61,-200.0,200,False,0.981,0.005669769831001759
62,-200.0,200,False,0.9806833333333334,0.01997377537190914
63,-200.0,200,False,0.9803666666666667,0.004594943951815367
64,-200.0,200,False,0.98005,0.005885902792215347
65,-200.0,200,False,0.9797333333333333,0.0077483272179961205
66,-200.0,200,False,0.9794166666666667,0.006814274005591869
67,-200.0,200,False,0.9791,0.038046788424253464
68,-200.0,200,False,0.9787833333333333,0.008696876466274261
69,-171.0,192,False,0.9784666666666667,0.013435527682304382
70,-200.0,200,False,0.97815,0.007368583232164383
71,-200.0,200,False,0.9778333333333333,0.005674187559634447
72,-200.0,200,False,0.9775166666666667,0.0029196643736213446
73,-200.0,200,False,0.9772,0.0028654360212385654
74,-200.0,200,False,0.9768833333333333,0.003607360878959298
75,-200.0,200,False,0.9765666666666667,0.0018794196657836437
76,-200.0,200,False,0.97625,0.14230595529079437
77,-200.0,200,False,0.9759333333333333,0.010851453058421612
78,-200.0,200,False,0.9756166666666667,0.003502301871776581
79,-200.0,200,False,0.9753000000000001,0.007112905383110046
80,-200.0,200,False,0.9749833333333333,0.010452885180711746
81,-200.0,200,False,0.9746666666666667,0.0032949354499578476
82,-47.0,68,False,0.97435,0.13216033577919006
83,-110.0,131,False,0.9740333333333333,0.00540904700756073
84,-200.0,200,False,0.9737166666666667,0.1745704710483551
85,-11.0,32,False,0.9734,0.18117789924144745
86,-200.0,200,False,0.9730833333333333,0.003884687554091215
87,-28.0,49,False,0.9727666666666667,0.0021293472964316607
88,-200.0,200,False,0.97245,0.03179545700550079
89,-200.0,200,False,0.9721333333333333,0.09687040001153946
90,-200.0,200,False,0.9718166666666667,0.008472930639982224
91,-200.0,200,False,0.9715,0.0027539050206542015
92,-8.0,29,False,0.9711833333333333,0.004412591457366943
93,-200.0,200,False,0.9708666666666667,0.003038170747458935
94,-200.0,200,False,0.97055,0.002987947780638933
95,-200.0,200,False,0.9702333333333333,0.003069107886403799
96,-200.0,200,False,0.9699166666666666,0.003133574267849326
97,-200.0,200,False,0.9696,0.1388457715511322
98,-200.0,200,False,0.9692833333333334,0.0023320340551435947
99,-200.0,200,False,0.9689666666666666,0.00235541770234704
100,-149.0,170,False,0.96865,0.046883996576070786
101,-200.0,200,False,0.9683333333333334,0.12912240624427795
102,-200.0,200,False,0.9680166666666666,0.003501663450151682
103,-200.0,200,False,0.9677,0.002085331827402115
104,-200.0,200,False,0.9673833333333334,0.005049898289144039
105,-200.0,200,False,0.9670666666666666,0.008266330696642399
106,-200.0,200,False,0.96675,0.0041716317646205425
107,-200.0,200,False,0.9664333333333334,0.0032896893098950386
108,4.0,17,True,0.9661166666666666,0.004740058444440365
109,-200.0,200,False,0.9658,0.004105902276933193
110,-200.0,200,False,0.9654833333333334,0.005156119354069233
