episode,reward,steps,success,epsilon,loss
1,-200.0,200,False,1.0,
2,-200.0,200,False,0.9996833333333334,0.10768934339284897
3,-200.0,200,False,0.9993666666666666,0.0692664086818695
4,-200.0,200,False,0.99905,0.07581812143325806
5,-200.0,200,False,0.9987333333333334,0.054264046251773834
6,-200.0,200,False,0.9984166666666666,0.05280192941427231
7,-200.0,200,False,0.9981,0.046421319246292114
8,-200.0,200,False,0.9977833333333334,0.07274515926837921
9,-200.0,200,False,0.9974666666666666,0.05390949547290802
10,0.0,21,True,0.99715,0.04904697462916374
11,-200.0,200,False,0.9968333333333333,0.038340214639902115
12,-200.0,200,False,0.9965166666666667,0.05818575620651245
13,-200.0,200,False,0.9962,0.05334258824586868
14,-200.0,200,False,0.9958833333333333,0.20933839678764343
15,-200.0,200,False,0.9955666666666667,0.03144712746143341
16,-200.0,200,False,0.99525,0.03607361018657684
17,-200.0,200,False,0.9949333333333333,0.036222394555807114
18,-200.0,200,False,0.9946166666666667,0.03350584954023361
19,-200.0,200,False,0.9943,0.024141564965248108
20,-200.0,200,False,0.9939833333333333,0.02393300272524357
21,-200.0,200,False,0.9936666666666667,0.02495809644460678
22,-102.0,123,False,0.99335,0.020512394607067108
23,-1.0,22,False,0.9930333333333333,0.018169455230236053
24,-200.0,200,False,0.9927166666666667,0.05758668854832649
25,-200.0,200,False,0.9924,0.03503181412816048
26,-200.0,200,False,0.9920833333333333,0.023943740874528885
27,-200.0,200,False,0.9917666666666667,0.028059735894203186
28,-200.0,200,False,0.99145,0.025202356278896332
29,-200.0,200,False,0.9911333333333333,0.023952703922986984
30,-200.0,200,False,0.9908166666666667,0.1669410914182663
31,-129.0,150,False,0.9905,0.011342944577336311
32,-200.0,200,False,0.9901833333333333,0.013372164219617844
33,-200.0,200,False,0.9898666666666667,0.011908348649740219
34,-200.0,200,False,0.98955,0.19225893914699554
35,-75.0,96,False,0.9892333333333333,0.03086896985769272
36,-200.0,200,False,0.9889166666666667,0.02558845281600952
37,-76.0,97,False,0.9886,0.01831013336777687
38,-200.0,200,False,0.9882833333333333,0.010690776631236076
39,-200.0,200,False,0.9879666666666667,0.019272062927484512
40,-200.0,200,False,0.98765,0.011226871982216835
41,-200.0,200,False,0.9873333333333333,0.009837844409048557
42,-200.0,200,False,0.9870166666666667,0.007206510752439499
43,-200.0,200,False,0.9867,0.006475203670561314
44,-200.0,200,False,0.9863833333333334,0.018811635673046112
45,-46.0,67,False,0.9860666666666666,0.010412413626909256
46,-200.0,200,False,0.98575,0.040026746690273285
47,-200.0,200,False,0.9854333333333334,0.024471977725625038
48,-63.0,84,False,0.9851166666666666,0.17001409828662872
49,-200.0,200,False,0.9848,0.0071550230495631695
50,-117.0,138,False,0.9844833333333334,0.006107279099524021
51,-200.0,200,False,0.9841666666666666,0.011416389606893063
52,-200.0,200,False,0.98385,0.1613604575395584
53,-200.0,200,False,0.9835333333333334,0.0072629330679774284
54,-139.0,160,False,0.9832166666666666,0.006742524914443493
55,-200.0,200,False,0.9829,0.0031696658115833998
56,-200.0,200,False,0.9825833333333334,0.004975978750735521
57,-147.0,168,False,0.9822666666666666,0.1388413906097412
58,-80.0,101,False,0.98195,0.014189416542649269
59,-200.0,200,False,0.9816333333333334,0.009969914332032204
60,-200.0,200,False,0.9813166666666666,0.004355202428996563
61,-200.0,200,False,0.981,0.006365143693983555
62,-200.0,200,False,0.9806833333333334,0.00582512142136693
63,-113.0,134,False,0.9803666666666667,0.162708580493927
64,-174.0,195,False,0.98005,0.01298842765390873
65,-200.0,200,False,0.9797333333333333,0.010089624673128128
