episode,reward,steps,success,epsilon,loss
1,-200.0,200,False,1.0,
2,-200.0,200,False,0.99988125,
3,-200.0,200,False,0.9997625,
4,-200.0,200,False,0.99964375,
5,-200.0,200,False,0.999525,
6,-90.0,111,False,0.99940625,
7,-200.0,200,False,0.9992875,
8,-200.0,200,False,0.99916875,
9,-200.0,200,False,0.99905,
10,-200.0,200,False,0.99893125,
11,-200.0,200,False,0.9988125,
12,-200.0,200,False,0.99869375,
13,-165.0,186,False,0.998575,
14,-200.0,200,False,0.99845625,
15,-200.0,200,False,0.9983375,
16,-200.0,200,False,0.99821875,
17,-200.0,200,False,0.9981,
18,-200.0,200,False,0.99798125,
19,-115.0,136,False,0.9978625,
20,-200.0,200,False,0.99774375,
21,-200.0,200,False,0.997625,
22,-200.0,200,False,0.99750625,
23,-200.0,200,False,0.9973875,
24,-200.0,200,False,0.99726875,
25,-77.0,98,False,0.99715,
26,-200.0,200,False,0.99703125,
27,-200.0,200,False,0.9969125,
28,-200.0,200,False,0.99679375,
29,-35.0,56,False,0.996675,
30,-200.0,200,False,0.99655625,
31,-200.0,200,False,0.9964375,
32,-200.0,200,False,0.99631875,
33,-200.0,200,False,0.9962,
34,-200.0,200,False,0.99608125,
35,-200.0,200,False,0.9959625,
36,-200.0,200,False,0.99584375,
37,-200.0,200,False,0.995725,
38,-200.0,200,False,0.99560625,
39,-200.0,200,False,0.9954875,
40,-200.0,200,False,0.99536875,
41,-200.0,200,False,0.99525,
42,-200.0,200,False,0.99513125,
43,-200.0,200,False,0.9950125,
44,-200.0,200,False,0.99489375,
45,-200.0,200,False,0.994775,
46,-200.0,200,False,0.99465625,
47,-200.0,200,False,0.9945375,
48,-200.0,200,False,0.99441875,
49,-200.0,200,False,0.9943,
50,-200.0,200,False,0.99418125,
51,-200.0,200,False,0.9940625,
52,-200.0,200,False,0.99394375,
53,-200.0,200,False,0.993825,
54,-200.0,200,False,0.99370625,
55,-200.0,200,False,0.9935875,
56,-200.0,200,False,0.99346875,
57,-200.0,200,False,0.99335,
58,-7.0,28,False,0.99323125,
59,-14.0,35,False,0.9931125,
60,-200.0,200,False,0.99299375,
61,-200.0,200,False,0.992875,
62,-200.0,200,False,0.99275625,
63,-200.0,200,False,0.9926375,
64,-200.0,200,False,0.99251875,
65,-200.0,200,False,0.9924,
66,-200.0,200,False,0.99228125,
67,-200.0,200,False,0.9921625,
68,-122.0,143,False,0.99204375,
69,-200.0,200,False,0.991925,
70,-200.0,200,False,0.99180625,
71,-200.0,200,False,0.9916875,
72,-200.0,200,False,0.99156875,
73,-200.0,200,False,0.99145,
74,-26.0,47,False,0.99133125,
75,-200.0,200,False,0.9912125,
76,-200.0,200,False,0.99109375,
77,-200.0,200,False,0.990975,
78,-200.0,200,False,0.99085625,
79,-41.0,62,False,0.9907375,
80,-98.0,119,False,0.99061875,
81,-200.0,200,False,0.9905,
82,-200.0,200,False,0.99038125,
83,-10.0,31,False,0.9902625,
84,-69.0,90,False,0.99014375,
85,-200.0,200,False,0.990025,
86,-200.0,200,False,0.98990625,
87,-200.0,200,False,0.9897875,
88,-200.0,200,False,0.98966875,
89,-200.0,200,False,0.98955,
90,-200.0,200,False,0.98943125,
91,-56.0,77,False,0.9893125,
92,-123.0,144,False,0.98919375,
93,-200.0,200,False,0.989075,
94,-200.0,200,False,0.98895625,
95,-200.0,200,False,0.9888375,
96,-172.0,193,False,0.98871875,
97,-200.0,200,False,0.9886,
98,-200.0,200,False,0.98848125,
99,-200.0,200,False,0.9883625,
100,-200.0,200,False,0.98824375,
101,-200.0,200,False,0.988125,
102,-200.0,200,False,0.98800625,
103,-200.0,200,False,0.9878875,
104,-200.0,200,False,0.98776875,
105,-200.0,200,False,0.98765,
106,-200.0,200,False,0.98753125,
107,-200.0,200,False,0.9874125,
108,-200.0,200,False,0.98729375,
109,-200.0,200,False,0.987175,
110,-200.0,200,False,0.98705625,
111,-200.0,200,False,0.9869375,
112,-66.0,87,False,0.98681875,
113,-200.0,200,False,0.9867,
114,-200.0,200,False,0.98658125,
115,-200.0,200,False,0.9864625,
116,-84.0,105,False,0.98634375,
117,-200.0,200,False,0.986225,
118,-200.0,200,False,0.98610625,
119,-200.0,200,False,0.9859875,
120,-200.0,200,False,0.98586875,
121,-200.0,200,False,0.98575,
122,-200.0,200,False,0.98563125,
123,-200.0,200,False,0.9855125,
124,-200.0,200,False,0.98539375,
125,-200.0,200,False,0.985275,
126,-200.0,200,False,0.98515625,
127,-200.0,200,False,0.9850375,
128,-200.0,200,False,0.98491875,
129,-200.0,200,False,0.9848,
130,-200.0,200,False,0.98468125,
131,-200.0,200,False,0.9845625,
